Zip	City	State	Latitude	Longitude
60651	Chicago	IL	41.901485	-87.74055
62090	Venice	IL	38.67065	-90.17052
62420	Casey	IL	39.299447	-87.99863
62206	East Saint Louis	IL	38.564451	-90.1628
62611	Arenzville	IL	39.883346	-90.39332
60974	Woodland	IL	40.710295	-87.73137
62001	Alhambra	IL	38.884434	-89.74886
60025	Glenview	IL	42.07672	-87.81922
62676	Hillyard	IL	39.128248	-89.923215
60139	Glendale Heights	IL	41.920228	-88.07891
60438	Lansing	IL	41.565685	-87.54819
61107	Rockford	IL	42.280019	-89.03347
61866	Rantoul	IL	40.307065	-88.15575
60697	Chicago	IL	41.811929	-87.68732
62464	Stoy	IL	38.98981	-87.839627
62248	Hecker	IL	38.299507	-89.961825
62549	Mt Zion	IL	39.777116	-88.87171
61132	Loves Park	IL	42.325364	-89.170527
62903	Carbondale	IL	37.758646	-89.415831
62069	Mount Olive	IL	39.077557	-89.73423
62856	Logan	IL	37.994296	-88.941665
62957	McClure	IL	37.305331	-89.43066
60465	Palos Hills	IL	41.699432	-87.82977
62083	Rosamond	IL	39.354674	-89.19993
62421	Claremont	IL	38.755492	-87.95334
60069	Lincolnshire	IL	42.188074	-87.92717
60667	Chicago	IL	41.811929	-87.68732
60694	Chicago	IL	41.811929	-87.68732
60935	Essex	IL	41.17569	-88.17268
61453	Little York	IL	41.010666	-90.75393
62837	Fairfield	IL	38.374627	-88.35735
60684	Chicago	IL	41.811929	-87.68732
60931	Donovan	IL	40.876303	-87.60159
61553	Norris	IL	40.449305	-90.161761
62272	Percy	IL	38.006386	-89.61645
62346	La Prairie	IL	40.151799	-90.95426
60408	Braidwood	IL	41.262178	-88.22307
61546	Manito	IL	40.442037	-89.78797
61632	Peoria	IL	40.765301	-89.569207
61870	Ridge Farm	IL	39.90241	-87.62722
62513	Blue Mound	IL	39.716269	-89.13269
61450	La Harpe	IL	40.567399	-90.97066
62324	Clayton	IL	39.988988	-90.94976
62871	Omaha	IL	37.877628	-88.29114
62655	Kilbourne	IL	40.147371	-90.00698
60125	Carol Stream	IL	41.839679	-88.088716
60922	Chebanse	IL	41.005603	-87.90649
61329	Ladd	IL	41.380259	-89.21239
62257	Marissa	IL	38.260108	-89.73627
60136	Gilberts	IL	42.099479	-88.36942
61727	Clinton	IL	40.145501	-88.96776
61416	Bardolph	IL	40.496817	-90.56334
60969	Union Hill	IL	41.109101	-88.14732
61052	Monroe Center	IL	42.110548	-89.00751
60153	Maywood	IL	41.880281	-87.84455
61702	Bloomington	IL	40.519236	-88.864303
60401	Beecher	IL	41.350484	-87.62408
61761	Normal	IL	40.515485	-88.98629
60174	Saint Charles	IL	41.919808	-88.30498
60304	Oak Park	IL	41.87355	-87.7885
62706	Springfield	IL	39.79885	-89.653399
62006	Batchtown	IL	39.079147	-90.67372
60064	North Chicago	IL	42.326072	-87.85202
61840	Dewey	IL	40.310244	-88.30526
62340	Griggsville	IL	39.71345	-90.72045
62341	Hamilton	IL	40.402015	-91.33182
62685	Shipman	IL	39.14665	-90.00059
61730	Cooksville	IL	40.537652	-88.73274
62459	Sainte Marie	IL	38.93148	-88.0252
61880	Tolono	IL	39.981936	-88.2532
61428	Dahinda	IL	40.952695	-90.12141
61650	Peoria	IL	40.744179	-89.718401
62348	Lima	IL	40.180236	-91.37791
61077	Seward	IL	42.236813	-89.35828
61109	Rockford	IL	42.213439	-89.05595
61760	Minonk	IL	40.893593	-89.03266
61616	Peoria	IL	40.743266	-89.576628
